County,Population
Anderson County,"57,922"
Andrews County,"18,610"
Angelina County,"86,395"
Aransas County,"23,830"
Archer County,"8,560"
Armstrong County,"1,848"
Atascosa County,"48,981"
Austin County,"30,167"
Bailey County,"6,904"
Bandera County,"20,851"
Bastrop County,"97,216"
Baylor County,"3,465"
Bee County,"31,047"
Bell County,"370,647"
Bexar County,"2,009,324"
Blanco County,"11,374"
Borden County,631
Bosque County,"18,235"
Bowie County,"92,893"
Brazoria County,"372,031"
Brazos County,"233,849"
Brewster County,"9,546"
Briscoe County,"1,435"
Brooks County,"7,076"
Brown County,"38,095"
Burleson County,"17,642"
Burnet County,"49,130"
Caldwell County,"45,883"
Calhoun County,"20,106"
Callahan County,"13,708"
Cameron County,"421,017"
Camp County,"12,464"
Carson County,"5,807"
Cass County,"28,454"
Castro County,"7,371"
Chambers County,"46,571"
Cherokee County,"50,412"
Childress County,"6,664"
Clay County,"10,218"
Cochran County,"2,547"
Coke County,"3,285"
Coleman County,"7,684"
Collin County,"1,064,465"
Collingsworth County,"2,652"
Colorado County,"20,557"
Comal County,"161,501"
Comanche County,"13,594"
Concho County,"3,303"
Cooke County,"41,668"
Coryell County,"83,093"
Cottle County,"1,380"
Crane County,"4,675"
Crockett County,"3,098"
Crosby County,"5,133"
Culberson County,"2,188"
Dallam County,"7,115"
Dallas County,"2,613,539"
Dawson County,"12,456"
Deaf Smith County,"18,583"
Delta County,"5,230"
Denton County,"906,422"
DeWitt County,"19,824"
Dickens County,"1,770"
Dimmit County,"8,615"
Donley County,"3,258"
Duval County,"9,831"
Eastland County,"17,725"
Ector County,"165,171"
Edwards County,"1,422"
Ellis County,"192,455"
El Paso County,"865,657"
Erath County,"42,545"
Falls County,"16,968"
Fannin County,"35,662"
Fayette County,"24,435"
Fisher County,"3,672"
Floyd County,"5,402"
Foard County,"1,095"
Fort Bend County,"822,779"
Franklin County,"10,359"
Freestone County,"19,435"
Frio County,"18,385"
Gaines County,"21,598"
Galveston County,"350,682"
Garza County,"5,816"
Gillespie County,"26,725"
Glasscock County,"1,116"
Goliad County,"7,012"
Gonzales County,"19,653"
Gray County,"21,227"
Grayson County,"135,543"
Gregg County,"124,239"
Grimes County,"29,268"
Guadalupe County,"172,706"
Hale County,"32,522"
Hall County,"2,825"
Hamilton County,"8,222"
Hansford County,"5,285"
Hardeman County,"3,549"
Hardin County,"56,231"
Harris County,"4,731,145"
Harrison County,"68,839"
Hartley County,"5,382"
Haskell County,"5,416"
Hays County,"241,067"
Hemphill County,"3,382"
Henderson County,"82,150"
Hidalgo County,"870,781"
Hill County,"35,874"
Hockley County,"21,537"
Hood County,"61,598"
Hopkins County,"36,787"
Houston County,"22,066"
Howard County,"34,860"
Hudspeth County,"3,202"
Hunt County,"99,956"
Hutchinson County,"20,617"
Irion County,"1,513"
Jack County,"8,472"
Jackson County,"14,988"
Jasper County,"32,980"
Jeff Davis County,"1,996"
Jefferson County,"256,526"
Jim Hogg County,"4,838"
Jim Wells County,"38,891"
Johnson County,"179,927"
Jones County,"19,663"
Karnes County,"14,710"
Kaufman County,"145,310"
Kendall County,"44,279"
Kenedy County,350
Kent County,753
Kerr County,"52,598"
Kimble County,"4,286"
King County,265
Kinney County,"3,129"
Kleberg County,"31,040"
Knox County,"3,353"
Lamar County,"50,088"
Lamb County,"13,045"
Lampasas County,"21,627"
La Salle County,"6,664"
Lavaca County,"20,337"
Lee County,"17,478"
Leon County,"15,719"
Liberty County,"91,628"
Limestone County,"22,146"
Lipscomb County,"3,059"
Live Oak County,"11,335"
Llano County,"21,243"
Loving County,64
Lubbock County,"310,639"
Lynn County,"5,596"
McCulloch County,"7,630"
McLennan County,"260,579"
McMullen County,600
Madison County,"13,455"
Marion County,"9,725"
Martin County,"5,237"
Mason County,"3,953"
Matagorda County,"36,255"
Maverick County,"57,887"
Medina County,"50,748"
Menard County,"1,962"
Midland County,"169,983"
Milam County,"24,754"
Mills County,"4,456"
Mitchell County,"8,990"
Montague County,"19,965"
Montgomery County,"620,443"
Moore County,"21,358"
Morris County,"11,973"
Motley County,"1,063"
Nacogdoches County,"64,653"
Navarro County,"52,624"
Newton County,"12,217"
Nolan County,"14,738"
Nueces County,"353,178"
Ochiltree County,"10,015"
Oldham County,"1,758"
Orange County,"84,808"
Palo Pinto County,"28,409"
Panola County,"22,491"
Parker County,"148,222"
Parmer County,"9,869"
Pecos County,"15,193"
Polk County,"50,123"
Potter County,"118,525"
Presidio County,"6,131"
Rains County,"12,164"
Randall County,"140,753"
Reagan County,"3,385"
Real County,"2,758"
Red River County,"11,587"
Reeves County,"14,748"
Refugio County,"6,741"
Roberts County,827
Robertson County,"16,757"
Rockwall County,"107,819"
Runnels County,"9,900"
Rusk County,"52,214"
Sabine County,"9,894"
San Augustine County,"7,918"
San Jacinto County,"27,402"
San Patricio County,"68,755"
San Saba County,"5,730"
Schleicher County,"2,451"
Scurry County,"16,932"
Shackelford County,"3,105"
Shelby County,"24,022"
Sherman County,"2,782"
Smith County,"233,479"
Somervell County,"9,205"
Starr County,"65,920"
Stephens County,"9,101"
Sterling County,"1,372"
Stonewall County,"1,245"
Sutton County,"3,372"
Swisher County,"6,971"
Tarrant County,"2,110,640"
Taylor County,"143,208"
Terrell County,760
Terry County,"11,831"
Throckmorton County,"1,440"
Titus County,"31,247"
Tom Green County,"120,003"
Travis County,"1,290,188"
Trinity County,"13,602"
Tyler County,"19,798"
Upshur County,"40,892"
Upton County,"3,308"
Uvalde County,"24,564"
Val Verde County,"47,586"
Van Zandt County,"59,541"
Victoria County,"91,319"
Walker County,"76,400"
Waller County,"56,794"
Ward County,"11,644"
Washington County,"35,805"
Webb County,"267,114"
Wharton County,"41,570"
Wheeler County,"4,990"
Wichita County,"129,350"
Wilbarger County,"12,887"
Willacy County,"20,164"
Williamson County,"609,017"
Wilson County,"49,753"
Winkler County,"7,791"
Wise County,"68,632"
Wood County,"44,843"
Yoakum County,"7,694"
Young County,"17,867"
Zapata County,"13,889"
Zavala County,"9,670"